builder;step;task;time
vSphere-VM-28t-55G-zeus;3-fetch;qtdeclarative.do_fetch;---
VM-20t-157G-zeus;3-fetch;qtdeclarative-native.do_fetch;---
VM-20t-98G-zeus;3-fetch;qtdeclarative-native.do_fetch;---
dual-Epyc-7763;3-fetch;qtdeclarative-native.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;3-fetch;qtdeclarative-native.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;3-fetch;qtdeclarative-native.do_fetch;---
dual-Xeon-E5-2670-8-channels-zeus;3-fetch;qtdeclarative-native.do_fetch;---
dual-Xeon-E5-2698-v3-4-channels-zeus;3-fetch;qtdeclarative-native.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-no-journal-zeus;3-fetch;qtdeclarative-native.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus;3-fetch;qtdeclarative-native.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-zeus;3-fetch;qtdeclarative-native.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus;3-fetch;qtdeclarative-native.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-zeus;3-fetch;qtdeclarative-native.do_fetch;---
dual-Xeon-Gold-6258R-zeus;3-fetch;qtdeclarative-native.do_fetch;---
ryzen-5-1600AF-zeus;3-fetch;qtdeclarative-native.do_fetch;---
ryzen-9-5950x-128gb-docker-hardknott;3-fetch;qtdeclarative-native.do_fetch;---
ryzen-9-5950x-128gb-docker-zeus;3-fetch;qtdeclarative-native.do_fetch;---
ryzen-9-5950x-zeus;3-fetch;qtdeclarative-native.do_fetch;---
threadripper-2990wx-128gb-zeus;3-fetch;qtdeclarative-native.do_fetch;---
threadripper-3970x-128gb-optane-zeus;3-fetch;qtdeclarative-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;3-fetch;qtdeclarative-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;3-fetch;qtdeclarative-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;3-fetch;qtdeclarative-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;3-fetch;qtdeclarative-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;3-fetch;qtdeclarative-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;3-fetch;qtdeclarative-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;3-fetch;qtdeclarative-native.do_fetch;---
threadripper-3970x-64gb-zeus;3-fetch;qtdeclarative-native.do_fetch;---
threadripper-3990x-128gb-zeus;3-fetch;qtdeclarative-native.do_fetch;---
threadripper-3990x-256gb-zeus;3-fetch;qtdeclarative-native.do_fetch;---
vSphere-VM-28t-55G-zeus;3-fetch;qtdeclarative-native.do_fetch;---
VM-20t-157G-zeus;3-fetch;qtlocation.do_fetch;---
VM-20t-98G-zeus;3-fetch;qtlocation.do_fetch;---
dual-Epyc-7763;3-fetch;qtlocation.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;3-fetch;qtlocation.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;3-fetch;qtlocation.do_fetch;---
dual-Xeon-E5-2670-8-channels-zeus;3-fetch;qtlocation.do_fetch;---
dual-Xeon-E5-2698-v3-4-channels-zeus;3-fetch;qtlocation.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-no-journal-zeus;3-fetch;qtlocation.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus;3-fetch;qtlocation.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-zeus;3-fetch;qtlocation.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus;3-fetch;qtlocation.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-zeus;3-fetch;qtlocation.do_fetch;---
dual-Xeon-Gold-6258R-zeus;3-fetch;qtlocation.do_fetch;---
ryzen-5-1600AF-zeus;3-fetch;qtlocation.do_fetch;---
ryzen-9-5950x-128gb-docker-hardknott;3-fetch;qtlocation.do_fetch;---
ryzen-9-5950x-128gb-docker-zeus;3-fetch;qtlocation.do_fetch;---
ryzen-9-5950x-zeus;3-fetch;qtlocation.do_fetch;---
threadripper-2990wx-128gb-zeus;3-fetch;qtlocation.do_fetch;---
threadripper-3970x-128gb-optane-zeus;3-fetch;qtlocation.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;3-fetch;qtlocation.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;3-fetch;qtlocation.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;3-fetch;qtlocation.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;3-fetch;qtlocation.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;3-fetch;qtlocation.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;3-fetch;qtlocation.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;3-fetch;qtlocation.do_fetch;---
threadripper-3970x-64gb-zeus;3-fetch;qtlocation.do_fetch;---
threadripper-3990x-128gb-zeus;3-fetch;qtlocation.do_fetch;---
threadripper-3990x-256gb-zeus;3-fetch;qtlocation.do_fetch;---
vSphere-VM-28t-55G-zeus;3-fetch;qtlocation.do_fetch;---
VM-20t-157G-zeus;3-fetch;qtmultimedia.do_fetch;---
VM-20t-98G-zeus;3-fetch;qtmultimedia.do_fetch;---
dual-Epyc-7763;3-fetch;qtmultimedia.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;3-fetch;qtmultimedia.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;3-fetch;qtmultimedia.do_fetch;---
dual-Xeon-E5-2670-8-channels-zeus;3-fetch;qtmultimedia.do_fetch;---
dual-Xeon-E5-2698-v3-4-channels-zeus;3-fetch;qtmultimedia.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-no-journal-zeus;3-fetch;qtmultimedia.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus;3-fetch;qtmultimedia.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-zeus;3-fetch;qtmultimedia.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus;3-fetch;qtmultimedia.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-zeus;3-fetch;qtmultimedia.do_fetch;---
dual-Xeon-Gold-6258R-zeus;3-fetch;qtmultimedia.do_fetch;---
ryzen-5-1600AF-zeus;3-fetch;qtmultimedia.do_fetch;---
ryzen-9-5950x-128gb-docker-hardknott;3-fetch;qtmultimedia.do_fetch;---
ryzen-9-5950x-128gb-docker-zeus;3-fetch;qtmultimedia.do_fetch;---
ryzen-9-5950x-zeus;3-fetch;qtmultimedia.do_fetch;---
threadripper-2990wx-128gb-zeus;3-fetch;qtmultimedia.do_fetch;---
threadripper-3970x-128gb-optane-zeus;3-fetch;qtmultimedia.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;3-fetch;qtmultimedia.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;3-fetch;qtmultimedia.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;3-fetch;qtmultimedia.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;3-fetch;qtmultimedia.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;3-fetch;qtmultimedia.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;3-fetch;qtmultimedia.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;3-fetch;qtmultimedia.do_fetch;---
threadripper-3970x-64gb-zeus;3-fetch;qtmultimedia.do_fetch;---
threadripper-3990x-128gb-zeus;3-fetch;qtmultimedia.do_fetch;---
threadripper-3990x-256gb-zeus;3-fetch;qtmultimedia.do_fetch;---
vSphere-VM-28t-55G-zeus;3-fetch;qtmultimedia.do_fetch;---
VM-20t-157G-zeus;3-fetch;qtquickcontrols2.do_fetch;---
VM-20t-98G-zeus;3-fetch;qtquickcontrols2.do_fetch;---
dual-Epyc-7763;3-fetch;qtquickcontrols2.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;3-fetch;qtquickcontrols2.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;3-fetch;qtquickcontrols2.do_fetch;---
dual-Xeon-E5-2670-8-channels-zeus;3-fetch;qtquickcontrols2.do_fetch;---
dual-Xeon-E5-2698-v3-4-channels-zeus;3-fetch;qtquickcontrols2.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-no-journal-zeus;3-fetch;qtquickcontrols2.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus;3-fetch;qtquickcontrols2.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-zeus;3-fetch;qtquickcontrols2.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus;3-fetch;qtquickcontrols2.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-zeus;3-fetch;qtquickcontrols2.do_fetch;---
dual-Xeon-Gold-6258R-zeus;3-fetch;qtquickcontrols2.do_fetch;---
ryzen-5-1600AF-zeus;3-fetch;qtquickcontrols2.do_fetch;---
ryzen-9-5950x-128gb-docker-hardknott;3-fetch;qtquickcontrols2.do_fetch;---
ryzen-9-5950x-128gb-docker-zeus;3-fetch;qtquickcontrols2.do_fetch;---
ryzen-9-5950x-zeus;3-fetch;qtquickcontrols2.do_fetch;---
threadripper-2990wx-128gb-zeus;3-fetch;qtquickcontrols2.do_fetch;---
threadripper-3970x-128gb-optane-zeus;3-fetch;qtquickcontrols2.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;3-fetch;qtquickcontrols2.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;3-fetch;qtquickcontrols2.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;3-fetch;qtquickcontrols2.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;3-fetch;qtquickcontrols2.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;3-fetch;qtquickcontrols2.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;3-fetch;qtquickcontrols2.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;3-fetch;qtquickcontrols2.do_fetch;---
threadripper-3970x-64gb-zeus;3-fetch;qtquickcontrols2.do_fetch;---
threadripper-3990x-128gb-zeus;3-fetch;qtquickcontrols2.do_fetch;---
threadripper-3990x-256gb-zeus;3-fetch;qtquickcontrols2.do_fetch;---
vSphere-VM-28t-55G-zeus;3-fetch;qtquickcontrols2.do_fetch;---
VM-20t-157G-zeus;3-fetch;qtwebengine.do_fetch;---
VM-20t-98G-zeus;3-fetch;qtwebengine.do_fetch;---
dual-Epyc-7763;3-fetch;qtwebengine.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;3-fetch;qtwebengine.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;3-fetch;qtwebengine.do_fetch;---
dual-Xeon-E5-2670-8-channels-zeus;3-fetch;qtwebengine.do_fetch;---
dual-Xeon-E5-2698-v3-4-channels-zeus;3-fetch;qtwebengine.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-no-journal-zeus;3-fetch;qtwebengine.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus;3-fetch;qtwebengine.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-zeus;3-fetch;qtwebengine.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus;3-fetch;qtwebengine.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-zeus;3-fetch;qtwebengine.do_fetch;---
dual-Xeon-Gold-6258R-zeus;3-fetch;qtwebengine.do_fetch;---
ryzen-5-1600AF-zeus;3-fetch;qtwebengine.do_fetch;---
ryzen-9-5950x-128gb-docker-hardknott;3-fetch;qtwebengine.do_fetch;---
ryzen-9-5950x-128gb-docker-zeus;3-fetch;qtwebengine.do_fetch;---
ryzen-9-5950x-zeus;3-fetch;qtwebengine.do_fetch;---
threadripper-2990wx-128gb-zeus;3-fetch;qtwebengine.do_fetch;---
threadripper-3970x-128gb-optane-zeus;3-fetch;qtwebengine.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;3-fetch;qtwebengine.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;3-fetch;qtwebengine.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;3-fetch;qtwebengine.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;3-fetch;qtwebengine.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;3-fetch;qtwebengine.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;3-fetch;qtwebengine.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;3-fetch;qtwebengine.do_fetch;---
threadripper-3970x-64gb-zeus;3-fetch;qtwebengine.do_fetch;---
threadripper-3990x-128gb-zeus;3-fetch;qtwebengine.do_fetch;---
threadripper-3990x-256gb-zeus;3-fetch;qtwebengine.do_fetch;---
vSphere-VM-28t-55G-zeus;3-fetch;qtwebengine.do_fetch;---
VM-20t-157G-zeus;3-fetch;qtwebkit.do_fetch;---
VM-20t-98G-zeus;3-fetch;qtwebkit.do_fetch;---
dual-Epyc-7763;3-fetch;qtwebkit.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;3-fetch;qtwebkit.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;3-fetch;qtwebkit.do_fetch;---
dual-Xeon-E5-2670-8-channels-zeus;3-fetch;qtwebkit.do_fetch;---
dual-Xeon-E5-2698-v3-4-channels-zeus;3-fetch;qtwebkit.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-no-journal-zeus;3-fetch;qtwebkit.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus;3-fetch;qtwebkit.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-zeus;3-fetch;qtwebkit.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus;3-fetch;qtwebkit.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-zeus;3-fetch;qtwebkit.do_fetch;---
dual-Xeon-Gold-6258R-zeus;3-fetch;qtwebkit.do_fetch;---
ryzen-5-1600AF-zeus;3-fetch;qtwebkit.do_fetch;---
ryzen-9-5950x-128gb-docker-hardknott;3-fetch;qtwebkit.do_fetch;---
ryzen-9-5950x-128gb-docker-zeus;3-fetch;qtwebkit.do_fetch;---
ryzen-9-5950x-zeus;3-fetch;qtwebkit.do_fetch;---
threadripper-2990wx-128gb-zeus;3-fetch;qtwebkit.do_fetch;---
threadripper-3970x-128gb-optane-zeus;3-fetch;qtwebkit.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;3-fetch;qtwebkit.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;3-fetch;qtwebkit.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;3-fetch;qtwebkit.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;3-fetch;qtwebkit.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;3-fetch;qtwebkit.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;3-fetch;qtwebkit.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;3-fetch;qtwebkit.do_fetch;---
threadripper-3970x-64gb-zeus;3-fetch;qtwebkit.do_fetch;---
threadripper-3990x-128gb-zeus;3-fetch;qtwebkit.do_fetch;---
threadripper-3990x-256gb-zeus;3-fetch;qtwebkit.do_fetch;---
vSphere-VM-28t-55G-zeus;3-fetch;qtwebkit.do_fetch;---
VM-20t-157G-zeus;3-fetch;rpm.do_fetch;---
VM-20t-98G-zeus;3-fetch;rpm.do_fetch;---
dual-Epyc-7763;3-fetch;rpm.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;3-fetch;rpm.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;3-fetch;rpm.do_fetch;---
dual-Xeon-E5-2670-8-channels-zeus;3-fetch;rpm.do_fetch;---
dual-Xeon-E5-2698-v3-4-channels-zeus;3-fetch;rpm.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-no-journal-zeus;3-fetch;rpm.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus;3-fetch;rpm.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-zeus;3-fetch;rpm.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus;3-fetch;rpm.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-zeus;3-fetch;rpm.do_fetch;---
dual-Xeon-Gold-6258R-zeus;3-fetch;rpm.do_fetch;---
ryzen-5-1600AF-zeus;3-fetch;rpm.do_fetch;---
ryzen-9-5950x-128gb-docker-hardknott;3-fetch;rpm.do_fetch;---
ryzen-9-5950x-128gb-docker-zeus;3-fetch;rpm.do_fetch;---
ryzen-9-5950x-zeus;3-fetch;rpm.do_fetch;---
threadripper-2990wx-128gb-zeus;3-fetch;rpm.do_fetch;---
threadripper-3970x-128gb-optane-zeus;3-fetch;rpm.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;3-fetch;rpm.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;3-fetch;rpm.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;3-fetch;rpm.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;3-fetch;rpm.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;3-fetch;rpm.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;3-fetch;rpm.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;3-fetch;rpm.do_fetch;---
threadripper-3970x-64gb-zeus;3-fetch;rpm.do_fetch;---
threadripper-3990x-128gb-zeus;3-fetch;rpm.do_fetch;---
threadripper-3990x-256gb-zeus;3-fetch;rpm.do_fetch;---
vSphere-VM-28t-55G-zeus;3-fetch;rpm.do_fetch;---
VM-20t-157G-zeus;3-fetch;rpm-native.do_fetch;---
VM-20t-98G-zeus;3-fetch;rpm-native.do_fetch;---
dual-Epyc-7763;3-fetch;rpm-native.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;3-fetch;rpm-native.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;3-fetch;rpm-native.do_fetch;---
dual-Xeon-E5-2670-8-channels-zeus;3-fetch;rpm-native.do_fetch;---
dual-Xeon-E5-2698-v3-4-channels-zeus;3-fetch;rpm-native.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-no-journal-zeus;3-fetch;rpm-native.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus;3-fetch;rpm-native.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-zeus;3-fetch;rpm-native.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus;3-fetch;rpm-native.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-zeus;3-fetch;rpm-native.do_fetch;---
dual-Xeon-Gold-6258R-zeus;3-fetch;rpm-native.do_fetch;---
ryzen-5-1600AF-zeus;3-fetch;rpm-native.do_fetch;---
ryzen-9-5950x-128gb-docker-hardknott;3-fetch;rpm-native.do_fetch;---
ryzen-9-5950x-128gb-docker-zeus;3-fetch;rpm-native.do_fetch;---
ryzen-9-5950x-zeus;3-fetch;rpm-native.do_fetch;---
threadripper-2990wx-128gb-zeus;3-fetch;rpm-native.do_fetch;---
threadripper-3970x-128gb-optane-zeus;3-fetch;rpm-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;3-fetch;rpm-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;3-fetch;rpm-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;3-fetch;rpm-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;3-fetch;rpm-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;3-fetch;rpm-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;3-fetch;rpm-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;3-fetch;rpm-native.do_fetch;---
threadripper-3970x-64gb-zeus;3-fetch;rpm-native.do_fetch;---
threadripper-3990x-128gb-zeus;3-fetch;rpm-native.do_fetch;---
threadripper-3990x-256gb-zeus;3-fetch;rpm-native.do_fetch;---
vSphere-VM-28t-55G-zeus;3-fetch;rpm-native.do_fetch;---
VM-20t-157G-zeus;3-fetch;rust-native.do_fetch;---
VM-20t-98G-zeus;3-fetch;rust-native.do_fetch;---
dual-Epyc-7763;3-fetch;rust-native.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;3-fetch;rust-native.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;3-fetch;rust-native.do_fetch;---
dual-Xeon-E5-2670-8-channels-zeus;3-fetch;rust-native.do_fetch;---
dual-Xeon-E5-2698-v3-4-channels-zeus;3-fetch;rust-native.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-no-journal-zeus;3-fetch;rust-native.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus;3-fetch;rust-native.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-zeus;3-fetch;rust-native.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus;3-fetch;rust-native.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-zeus;3-fetch;rust-native.do_fetch;---
dual-Xeon-Gold-6258R-zeus;3-fetch;rust-native.do_fetch;---
ryzen-5-1600AF-zeus;3-fetch;rust-native.do_fetch;---
ryzen-9-5950x-128gb-docker-hardknott;3-fetch;rust-native.do_fetch;---
ryzen-9-5950x-128gb-docker-zeus;3-fetch;rust-native.do_fetch;---
ryzen-9-5950x-zeus;3-fetch;rust-native.do_fetch;---
threadripper-2990wx-128gb-zeus;3-fetch;rust-native.do_fetch;---
threadripper-3970x-128gb-optane-zeus;3-fetch;rust-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;3-fetch;rust-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;3-fetch;rust-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;3-fetch;rust-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;3-fetch;rust-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;3-fetch;rust-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;3-fetch;rust-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;3-fetch;rust-native.do_fetch;---
threadripper-3970x-64gb-zeus;3-fetch;rust-native.do_fetch;---
threadripper-3990x-128gb-zeus;3-fetch;rust-native.do_fetch;---
threadripper-3990x-256gb-zeus;3-fetch;rust-native.do_fetch;---
vSphere-VM-28t-55G-zeus;3-fetch;rust-native.do_fetch;---
VM-20t-157G-zeus;3-fetch;spirv-tools-native.do_fetch;---
VM-20t-98G-zeus;3-fetch;spirv-tools-native.do_fetch;---
dual-Epyc-7763;3-fetch;spirv-tools-native.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;3-fetch;spirv-tools-native.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;3-fetch;spirv-tools-native.do_fetch;---
dual-Xeon-E5-2670-8-channels-zeus;3-fetch;spirv-tools-native.do_fetch;---
dual-Xeon-E5-2698-v3-4-channels-zeus;3-fetch;spirv-tools-native.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-no-journal-zeus;3-fetch;spirv-tools-native.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus;3-fetch;spirv-tools-native.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-zeus;3-fetch;spirv-tools-native.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus;3-fetch;spirv-tools-native.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-zeus;3-fetch;spirv-tools-native.do_fetch;---
dual-Xeon-Gold-6258R-zeus;3-fetch;spirv-tools-native.do_fetch;---
ryzen-5-1600AF-zeus;3-fetch;spirv-tools-native.do_fetch;---
ryzen-9-5950x-128gb-docker-hardknott;3-fetch;spirv-tools-native.do_fetch;---
ryzen-9-5950x-128gb-docker-zeus;3-fetch;spirv-tools-native.do_fetch;---
ryzen-9-5950x-zeus;3-fetch;spirv-tools-native.do_fetch;---
threadripper-2990wx-128gb-zeus;3-fetch;spirv-tools-native.do_fetch;---
threadripper-3970x-128gb-optane-zeus;3-fetch;spirv-tools-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-dunfell-2020-03;3-fetch;spirv-tools-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.04-zeus-2020-02;3-fetch;spirv-tools-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-20.10-gatesgarth-2020-10;3-fetch;spirv-tools-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2020-03;3-fetch;spirv-tools-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-dunfell-2021-03;3-fetch;spirv-tools-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03-qemuarm;3-fetch;spirv-tools-native.do_fetch;---
threadripper-3970x-128gb-ubuntu-21.04-hardknott-2021-03;3-fetch;spirv-tools-native.do_fetch;---
threadripper-3970x-64gb-zeus;3-fetch;spirv-tools-native.do_fetch;---
threadripper-3990x-128gb-zeus;3-fetch;spirv-tools-native.do_fetch;---
threadripper-3990x-256gb-zeus;3-fetch;spirv-tools-native.do_fetch;---
vSphere-VM-28t-55G-zeus;3-fetch;spirv-tools-native.do_fetch;---
VM-20t-157G-zeus;3-fetch;tcp-wrappers.do_fetch;---
VM-20t-98G-zeus;3-fetch;tcp-wrappers.do_fetch;---
dual-Epyc-7763;3-fetch;tcp-wrappers.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;3-fetch;tcp-wrappers.do_fetch;---
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;3-fetch;tcp-wrappers.do_fetch;---
